route_no,from,to,official_itinerary_or_note,verification_basis,official_source_url
A-70EXP,Mira Road Railway Station (East),Nehru Planetarium,Mira-Bhainder Road; Kashimira; Western Express Highway; Bandra-Worli Sea Link,BMC official project report; route explicitly described,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
AS458,Mira Road area,Thane,BMC report states BEST AC service AS 458 to Thane passes through Mira Road; endpoints not stated in the cited passage,BMC official project report; route number/service verified,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
AS700,Mira Road area,Thane,BMC report states BEST AC service AS 700 to Thane passes through Mira Road; endpoints not stated in the cited passage,BMC official project report; route number/service verified,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
AS707,"Golden Nest, Bhainder East (Fatak)",Maxus Mall,Via Mindspace and Juhu; BMC report says service originated to Santacruz Depot and was extended to Maxus Mall,BMC official project report; route and extension described,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
C-61,Mira Road,Mulund Check Naka,Corridor/Express service; BMC report identifies Mira Road to Mulund Check Naka,BMC official project report; route explicitly described,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
C-71,Mira Road,Mahim,Corridor/Express service; BMC report identifies Mira Road to Mahim via Western Express Highway,BMC official project report; route explicitly described,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
C-72,Bhainder,Sion,Corridor/Express service; BMC report identifies Bhainder to Sion via Western Express Highway,BMC official project report; route explicitly described,https://portal.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_7000022346_Volume%201.pdf
3,,,Route number 3 appears in an official BMC electoral-list document in a BEST bus-route reference; no endpoint data in cited record,BMC official document; route number only,https://portal.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Licence%20Department/TownVendingCommittee/Electoral%20List%20for%20TVC/E/E%20Ward%20Licensee%20List.pdf
46,,,Route number 46 appears in an official BMC electoral-list document in a BEST bus-route reference; no endpoint data in cited record,BMC official document; route number only,https://portal.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Licence%20Department/TownVendingCommittee/Electoral%20List%20for%20TVC/E/E%20Ward%20Licensee%20List.pdf
514,,,Route number 514 appears in an official BMC electoral-list document in a BEST bus-route reference; no endpoint data in cited record,BMC official document; route number only,https://portal.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Licence%20Department/TownVendingCommittee/Electoral%20List%20for%20TVC/E/E%20Ward%20Licensee%20List.pdf
126,,,Route number 126 appears in an official BMC electoral-list document in a BEST bus-route reference; no endpoint data in cited record,BMC official document; route number only,https://portal.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Licence%20Department/TownVendingCommittee/Electoral%20List%20for%20TVC/E/E%20Ward%20Licensee%20List.pdf
462,,,Route number 462 appears in an official BMC document with a bus-stop reference; no endpoint data in cited record,BMC official document; route number only,https://www.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Licence%20Department/Docs/12051640.pdf
