route_id,direction_id,trip_id,stop_sequence,stop_id
1-2,0,tmt_1_0_1,1,TMT_4791
1-2,0,tmt_1_0_1,2,TMT_446
1-2,0,tmt_1_0_1,3,TMT_4793
1-2,0,tmt_1_0_1,4,TMT_555
1-2,0,tmt_1_0_1,5,TMT_1709
1-2,0,tmt_1_0_1,6,TMT_1202
1-2,0,tmt_1_0_1,7,TMT_742
1-2,0,tmt_1_0_1,8,TMT_452
1-2,0,tmt_1_0_1,9,TMT_1084_2
1-2,1,tmt_1_1_1,1,TMT_1084_2
1-2,1,tmt_1_1_1,2,TMT_742
1-2,1,tmt_1_1_1,3,TMT_1202
1-2,1,tmt_1_1_1,4,TMT_1709
1-2,1,tmt_1_1_1,5,TMT_957
1-2,1,tmt_1_1_1,6,TMT_958
1-2,1,tmt_1_1_1,7,TMT_446
1-2,1,tmt_1_1_1,8,TMT_4791
10,0,tmt_10_1_1,1,TMT_1084_2
10,0,tmt_10_1_1,2,TMT_510
10,0,tmt_10_1_1,3,TMT_471
10,0,tmt_10_1_1,4,TMT_4026
10,0,tmt_10_1_1,5,TMT_690
10,0,tmt_10_1_1,6,TMT_691
10,0,tmt_10_1_1,7,TMT_2678
10,0,tmt_10_1_1,8,TMT_693
10,0,tmt_10_1_1,9,TMT_694
10,0,tmt_10_1_1,10,TMT_647
10,0,tmt_10_1_1,11,TMT_648
10,0,tmt_10_1_1,12,TMT_649
10,0,tmt_10_1_1,13,TMT_650
10,0,tmt_10_1_1,14,TMT_699
10,0,tmt_10_1_1,15,TMT_652
10,0,tmt_10_1_1,16,TMT_701
10,0,tmt_10_1_1,17,TMT_702
10,0,tmt_10_1_1,18,TMT_703
10,0,tmt_10_1_1,19,TMT_704
10,0,tmt_10_1_1,20,TMT_705
10,0,tmt_10_1_1,21,TMT_603
10,0,tmt_10_1_1,22,TMT_706
10,1,tmt_10_0_1,1,TMT_669
10,1,tmt_10_0_1,2,TMT_670
10,1,tmt_10_0_1,3,TMT_671
10,1,tmt_10_0_1,4,TMT_672
10,1,tmt_10_0_1,5,TMT_673
10,1,tmt_10_0_1,6,TMT_674
10,1,tmt_10_0_1,7,TMT_675
10,1,tmt_10_0_1,8,TMT_676
10,1,tmt_10_0_1,9,TMT_677
10,1,tmt_10_0_1,10,TMT_678
10,1,tmt_10_0_1,11,TMT_679
10,1,tmt_10_0_1,12,TMT_680
10,1,tmt_10_0_1,13,TMT_2668
10,1,tmt_10_0_1,14,TMT_2669
10,1,tmt_10_0_1,15,TMT_683
10,1,tmt_10_0_1,16,TMT_684
10,1,tmt_10_0_1,17,TMT_509
10,1,tmt_10_0_1,18,TMT_510
10,1,tmt_10_0_1,19,TMT_551
10,1,tmt_10_0_1,20,TMT_1084_2
100RING,0,best_trip_21_0830,1,BEST_16037
100RING,0,best_trip_21_0830,2,BEST_16181
100RING,0,best_trip_21_0830,3,BEST_16134
100RING,0,best_trip_21_0830,4,BEST_16129
100RING,0,best_trip_21_0830,5,BEST_16050
100RING,0,best_trip_21_0830,6,BEST_16068
100RING,1,best_trip_1643_0825,1,BEST_16070
100RING,1,best_trip_1643_0825,2,BEST_16069
100RING,1,best_trip_1643_0825,3,BEST_16245
100RING,1,best_trip_1643_0825,4,BEST_16107
100RING,1,best_trip_1643_0825,5,BEST_16037
101,0,vvmt_trip_1_0_0005,1,VVMT_2
101,0,vvmt_trip_1_0_0005,2,VVMT_3
101,0,vvmt_trip_1_0_0005,3,VVMT_4
101,0,vvmt_trip_1_0_0005,4,VVMT_5
101,0,vvmt_trip_1_0_0005,5,VVMT_6
101,0,vvmt_trip_1_0_0005,6,VVMT_7
101,0,vvmt_trip_1_0_0005,7,VVMT_8
101,0,vvmt_trip_1_0_0005,8,VVMT_9
101,0,vvmt_trip_1_0_0005,9,VVMT_10
101,0,vvmt_trip_1_0_0005,10,VVMT_11
101,0,vvmt_trip_1_0_0005,11,VVMT_12
101,0,vvmt_trip_1_0_0005,12,VVMT_13
101,0,vvmt_trip_1_0_0005,13,VVMT_14
101,0,vvmt_trip_1_0_0005,14,VVMT_15
101,0,vvmt_trip_1_0_0005,15,VVMT_16
101,0,vvmt_trip_1_0_0005,16,VVMT_17
101,0,vvmt_trip_1_0_0005,17,VVMT_18
101,0,vvmt_trip_1_0_0005,18,VVMT_19
101,0,vvmt_trip_1_0_0005,19,VVMT_19
101,0,vvmt_trip_1_0_0005,20,VVMT_18
101,0,vvmt_trip_1_0_0005,21,VVMT_17
101,0,vvmt_trip_1_0_0005,22,VVMT_16
101,0,vvmt_trip_1_0_0005,23,VVMT_24
101,0,vvmt_trip_1_0_0005,24,VVMT_25
101,0,vvmt_trip_1_0_0005,25,VVMT_26
101,0,vvmt_trip_1_0_0005,26,VVMT_27
101,0,vvmt_trip_1_0_0005,27,VVMT_28
101,0,vvmt_trip_1_0_0005,28,VVMT_29
101,0,vvmt_trip_1_0_0005,29,VVMT_30
101,0,vvmt_trip_1_0_0005,30,VVMT_31
101,0,vvmt_trip_1_0_0005,31,VVMT_32
101,0,vvmt_trip_1_0_0005,32,VVMT_33
101,0,vvmt_trip_1_0_0005,33,VVMT_34
101,0,vvmt_trip_1_0_0005,34,VVMT_35
101,0,vvmt_trip_1_0_0005,35,VVMT_36
101,0,vvmt_trip_1_0_0005,36,VVMT_38
101AS,0,best_trip_4577_0725,1,BEST_16239
101AS,0,best_trip_4577_0725,2,BEST_16264
101AS,0,best_trip_4577_0725,3,BEST_16072
101AS,0,best_trip_4577_0725,4,BEST_16091
101AS,0,best_trip_4577_0725,5,BEST_16060
101AS,0,best_trip_4577_0725,6,BEST_16222
101AS,0,best_trip_4577_0725,7,BEST_16243
101AS,0,best_trip_4577_0725,8,BEST_16056
101AS,0,best_trip_4577_0725,9,BEST_16218
101AS,0,best_trip_4577_0725,10,BEST_16218
101AS,0,best_trip_4577_0725,11,BEST_01116
101AS,0,best_trip_4577_0725,12,BEST_01043
101AS,0,best_trip_4577_0725,13,BEST_01128
101AS,0,best_trip_4577_0725,14,BEST_01128
101AS,1,best_trip_4576_0700,1,BEST_01128
101AS,1,best_trip_4576_0700,2,BEST_01125
101AS,1,best_trip_4576_0700,3,BEST_01033
101AS,1,best_trip_4576_0700,4,BEST_01114
101AS,1,best_trip_4576_0700,5,BEST_01090
101AS,1,best_trip_4576_0700,6,BEST_16046
101AS,1,best_trip_4576_0700,7,BEST_16106
101AS,1,best_trip_4576_0700,8,BEST_16241
101AS,1,best_trip_4576_0700,9,BEST_16220
101AS,1,best_trip_4576_0700,10,BEST_16058
