line,train_id,source_file,source_pages,recorded_stops
Central Main,95001,1728294831372-SUB PTT DN ML'24(1).pdf,1,22
Central Main,95002,1728294891897-SUB PTT UP ML'24(1).pdf,2,24
Central Main,95003,1728294831372-SUB PTT DN ML'24(1).pdf,3,23
Central Main,95004,1728294891897-SUB PTT UP ML'24(1).pdf,4,23
Central Main,95005,1728294831372-SUB PTT DN ML'24(1).pdf,8,22
Central Main,95006,1728294891897-SUB PTT UP ML'24(1).pdf,9,23
Central Main,95007,1728294831372-SUB PTT DN ML'24(1).pdf,10,23
Central Main,95008,1728294891897-SUB PTT UP ML'24(1).pdf,16,22
Central Main,95009,1728294831372-SUB PTT DN ML'24(1).pdf,13,22
Central Main,95010,1728294891897-SUB PTT UP ML'24(1).pdf,21,22
Central Main,95011,1728294831372-SUB PTT DN ML'24(1).pdf,16,24
Central Main,95012,1728294891897-SUB PTT UP ML'24(1).pdf,23,23
Central Main,95013,1728294831372-SUB PTT DN ML'24(1).pdf,17,23
Central Main,95015,1728294831372-SUB PTT DN ML'24(1).pdf,18,23
Central Main,95101,1728294831372-SUB PTT DN ML'24(1).pdf,2,17
Central Main,95102,1728294891897-SUB PTT UP ML'24(1).pdf,2,20
Central Main,95103,1728294831372-SUB PTT DN ML'24(1).pdf,2,18
Central Main,95104,1728294891897-SUB PTT UP ML'24(1).pdf,3,20
Central Main,95105,1728294831372-SUB PTT DN ML'24(1).pdf,3,18
Central Main,95106,1728294891897-SUB PTT UP ML'24(1).pdf,4,18
Central Main,95107,1728294831372-SUB PTT DN ML'24(1).pdf,4,18
Central Main,95108,1728294891897-SUB PTT UP ML'24(1).pdf,5,18
Central Main,95109,1728294831372-SUB PTT DN ML'24(1).pdf,4,18
Central Main,95110,1728294891897-SUB PTT UP ML'24(1).pdf,5,19
Central Main,95111,1728294831372-SUB PTT DN ML'24(1).pdf,5,18
Central Main,95112,1728294891897-SUB PTT UP ML'24(1).pdf,7,17
Central Main,95113,1728294831372-SUB PTT DN ML'24(1).pdf,6,18
Central Main,95114,1728294891897-SUB PTT UP ML'24(1).pdf,8,17
Central Main,95115,1728294831372-SUB PTT DN ML'24(1).pdf,7,18
Central Main,95116,1728294891897-SUB PTT UP ML'24(1).pdf,10,19
Central Main,95117,1728294831372-SUB PTT DN ML'24(1).pdf,7,18
Central Main,95118,1728294891897-SUB PTT UP ML'24(1).pdf,11,17
Central Main,95119,1728294831372-SUB PTT DN ML'24(1).pdf,9,19
Central Main,95120,1728294891897-SUB PTT UP ML'24(1).pdf,12,18
Central Main,95121,1728294831372-SUB PTT DN ML'24(1).pdf,9,18
Central Main,95122,1728294891897-SUB PTT UP ML'24(1).pdf,13,19
Central Main,95123,1728294831372-SUB PTT DN ML'24(1).pdf,10,18
Central Main,95124,1728294891897-SUB PTT UP ML'24(1).pdf,14,18
Central Main,95125,1728294831372-SUB PTT DN ML'24(1).pdf,11,19
Central Main,95126,1728294891897-SUB PTT UP ML'24(1).pdf,14,17
Central Main,95127,1728294831372-SUB PTT DN ML'24(1).pdf,11,18
Central Main,95128,1728294891897-SUB PTT UP ML'24(1).pdf,16,17
