line,station
Central Main,Ambernath
Central Main,Ambivli
Central Main,Asangaon
Central Main,Atgaon
Central Main,Badlapur
Central Main,Bhandup
Central Main,Bhandup ...
Central Main,Bhandup ... ...
Central Main,Bhandup …
Central Main,Bhivpuri Road
Central Main,Bhivpuri road
Central Main,Byculla
Central Main,Byculla …
Central Main,CSMT
Central Main,Chinchpokli
Central Main,Chinchpokli …
Central Main,Chinchpokli … …
Central Main,Currey Road
Central Main,Currey Road …
Central Main,Currey Road … …
Central Main,Currey road
Central Main,Currey road …
Central Main,Currey road … …
Central Main,Dadar
Central Main,Diva
Central Main,Diva …
Central Main,Diva … …
Central Main,Diwa
Central Main,Diwa …
Central Main,Diwa … …
Central Main,Dolavli
Central Main,Dombivli
Central Main,Ghatkopar
Central Main,Kalva
Central Main,Kalva …
Central Main,Kalva … …
Central Main,Kalyan
Central Main,Kanjur Marg
Central Main,Kanjur Marg …
Central Main,Kanjur Marg … …
Central Main,Kanjur marg
Central Main,Kanjur marg ...
Central Main,Kanjur marg ... ...
Central Main,Karjat
Central Main,Kasara
Central Main,Kelavli
Central Main,Khadavli
Central Main,Khardi
Central Main,Khopoli
Central Main,Kopar
Central Main,Kopar …
Central Main,Kopar … …
Central Main,Kurla
Central Main,Lowjee
Central Main,Masjid
Central Main,Masjid …
Central Main,Masjid … …
Central Main,Matunga
Central Main,Matunga ...
Central Main,Matunga ... ...
Central Main,Matunga …
Central Main,Matunga … …
Central Main,Mulund
Central Main,Mulund ...
Central Main,Mulund ... ...
Central Main,Mulund …
Central Main,Mumbra
Central Main,Mumbra …
Central Main,Mumbra … …
Central Main,Nahur
Central Main,Nahur ...
Central Main,Nahur ... ...
Central Main,Nahur …
Central Main,Nahur … …
Central Main,Neral
Central Main,Palasdhari
Central Main,Parel
Central Main,Parel …
Central Main,Parel … …
Central Main,Sandhurst Road
Central Main,Sandhurst Road …
Central Main,Sandhurst Road … …
Central Main,Sandhurst road
Central Main,Sandhurst road …
Central Main,Sandhurst road … …
Central Main,Shahad
Central Main,Shelu
Central Main,Sion
Central Main,Sion ...
Central Main,Sion ... ...
Central Main,Sion …
Central Main,Sion … …
Central Main,Thakurli
Central Main,Thakurli …
Central Main,Thakurli … …
Central Main,Thane
Central Main,Thansit
Central Main,Titwala
Central Main,Ulhas Nagar
Central Main,Ulhas nagar
Central Main,Umbermali
Central Main,Umbermalli
Central Main,Vangani
Central Main,Vasind
Central Main,Vidyavihar
Central Main,Vidyavihar ...
Central Main,Vidyavihar ... ...
Central Main,Vidyavihar …
Central Main,Vidyavihar … …
Central Main,Vikhroli
Central Main,Vikhroli ...
Central Main,Vikhroli ... ...
Central Main,Vikhroli …
Central Main,Vithalwadi
Harbour,ANDHERI
Harbour,Andheri
Harbour,BANDRA
Harbour,Bandra
Harbour,Belapur CBD
Harbour,COTTON GREEN
Harbour,Chembur
Harbour,Chunabhatti
Harbour,Cotton Green
Harbour,DOCK YARD ROAD
Harbour,DOCK YARD ROAD DEP DEP
Harbour,DOCK YARD ROAD VDLR
Harbour,Dockyard Road
Harbour,GOREGAON
Harbour,GTB Nagar
Harbour,Goregaon
Harbour,Govandi
Harbour,JOGESWARI
Harbour,Jogeshwari
Harbour,Juinagar
Harbour,KHAR
Harbour,KING'S CIRCLE
Harbour,Khandeshwar
Harbour,Khar Road
Harbour,Kharghar
Harbour,King's Circle
Harbour,Kurla
Harbour,MAHIM JN.
Harbour,MASJID
Harbour,MASJID GMN PNVL
Harbour,MASJID PNVL
Harbour,MUMBAI CSMT
Harbour,Mahim Jn
Harbour,Mankhurd
Harbour,Mansarovar
Harbour,Masjid
Harbour,Mumbai CSMT
Harbour,Nerul
Harbour,Panvel
Harbour,RAM MANDIR
Harbour,REAY ROAD
Harbour,REAY ROAD VDLR VDLR
Harbour,Ramnagar
Harbour,Reay Road
Harbour,SANDHURST ROAD
Harbour,SANTACURTZ
Harbour,SEWERI
Harbour,SEWERI PF 2 PF 3
Harbour,Sandhurst Road
Harbour,Sanpada
Harbour,Santacruz
Harbour,Seawood Darave Karave
Harbour,Seawoods Darave Karave
Harbour,Sewri
Harbour,Tilaknagar
Harbour,VADALA ROAD
Harbour,VILEPARLE
Harbour,Vadala Road
Harbour,Vashi
Harbour,Vileparle
Port,BAMANDONGRI
Port,BELAPUR
Port,DRONAGIRI
Port,GAVHAN
Port,KHARKOPAR
Port,NERUL
Port,NHAVE SHEVA
Port,SEAWOODS DARAVE KARAVE
Port,SHEMATIKHAR
Port,TARGHAR
Port,URAN
Trans-Harbour,AIRL
Trans-Harbour,BEPR
Trans-Harbour,DIGH
Trans-Harbour,GNSL
Trans-Harbour,JNJ
Trans-Harbour,KHAG
Trans-Harbour,KNDS
Trans-Harbour,KPHN
Trans-Harbour,MANR
Trans-Harbour,NEU
Trans-Harbour,PNVL
Trans-Harbour,RABE
Trans-Harbour,SNPD
Trans-Harbour,SWDV
Trans-Harbour,TNA
Trans-Harbour,TUH
Trans-Harbour,VSH
Western,ANDHERI
Western,ANDHERI Passing
Western,BANDRA
Western,BHAYANDAR
Western,BORIVALI
Western,Bhayandar
Western,Bhayandar HOLIDAY Condition
Western,Bhayandar ONLY
Western,CHURCHGATE
Western,Charni Road
Western,DADAR
Western,DADAR ONLY
Western,Dahisar
Western,Dahisar NOT ON
Western,Goregaon
Western,Goregaon SUN
Western,Goregaon Sun.
Western,Grant Road
Western,Jogeshwari
Western,Kandivali
Western,Kandivali Air
Western,Kandivali Ladies Spl
Western,Kandivli
Western,Khar Road
Western,Lower Parel
Western,Lower Parel Condition
Western,Lower Parel Condition SUN
Western,Lower Parel SUN
Western,Lower Parel SUN Condition
Western,Lower Parel SUN SUN
Western,M'BAI CENTRAL (L)
Western,M'BAI CENTRAL(L)
Western,Mahalakshmi
Western,Mahalakshmi Air
Western,Mahalakshmi Air NOT ON
Western,Mahalakshmi NOT ON
Western,Mahalakshmi NOT ON Air
Western,Mahalakshmi NOT ON NOT ON
Western,Mahalakshmi ONLY
Western,Mahim Jn.
Western,Mahim Jn. NOT ON
Western,Malad
Western,Malad Condition
Western,Malad NON AC
Western,Malad NOT ON
Western,Malad NOT ON Condition
Western,Malad On
Western,Marine Lines
Western,Matunga Road
Western,Matunga Road SUN
Western,Mira Road
Western,Mira Road SUN
Western,Mira Road SUN & Air
Western,Naigaon
Western,Naigaon .
Western,Naigaon T
Western,Nalla Sopara
Western,Nalla Sopara Air
Western,Nalla Sopara SUN
Western,Nalla Sopara SUN &
Western,Prabhadevi
Western,Prabhadevi NOT ON
Western,Prabhadevi ONLY
Western,Prabhadevi ONLY ONLY
Western,Ram Mandir
Western,Ram Mandir General
Western,Ram Mandir ONLY
Western,Santa Cruz
Western,Santa Cruz Air
Western,Santa Cruz Condition
Western,VASAI ROAD
Western,VASAI ROAD Condition
Western,VASAI ROAD HOLIDAY
Western,VASAI ROAD ONLY
Western,VIRAR
Western,VIRAR HOLIDAY
Western,VIRAR NOT ON
Western,Vasai Road
Western,Vasai Road NOT ON
Western,Vile Parle
Western,Vile Parle Air
Western,Vile Parle Condition
Western AC,ANDHERI
Western AC,ANDHERI NON AC
Western AC,BANDRA
Western AC,BHAYANDAR
Western AC,BHAYANDAR & SUN
Western AC,BORIVALI
Western AC,Bhayandar
Western AC,CHURCHGATE
Western AC,Charni Road
Western AC,Charni Road Condition
Western AC,DADAR
Western AC,Dahisar
Western AC,Goregaon
Western AC,Grant Road
Western AC,Jogeshwari
Western AC,Jogeshwari & SUN
Western AC,Kandivali
Western AC,Kandivali Air
Western AC,Kandivali Air Air
Western AC,Kandivli
Western AC,Khar Road
Western AC,Khar Road NON AC
Western AC,Khar Road ON SAT
Western AC,Lower Parel
Western AC,Lower Parel Condition
Western AC,Lower Parel Condition Condition
Western AC,Lower Parel Condition Condition Condition Condition Condition
Western AC,M'BAI CENTRAL (L)
Western AC,M'BAI CENTRAL(L)
Western AC,Mahalakshmi
Western AC,Mahalakshmi Air
Western AC,Mahalakshmi Air . Air
Western AC,Mahalakshmi Air Air
Western AC,Mahalakshmi Air Air Air Air Air
Western AC,Mahim Jn.
Western AC,Mahim Jn. Condition
Western AC,Malad
Western AC,Malad Condition
Western AC,Malad Condition Condition
Western AC,Marine Lines
Western AC,Marine Lines Air
Western AC,Matunga Road
Western AC,Matunga Road Air
Western AC,Mira Road
Western AC,Mira Road NON AC
Western AC,Naigaon
Western AC,Naigaon ON SAT
Western AC,Nalla Sopara
Western AC,Nalla Sopara Condition
Western AC,Prabhadevi
Western AC,Prabhadevi Air
Western AC,Ram Mandir
Western AC,Ram Mandir ON SAT
Western AC,Santa Cruz
Western AC,Santa Cruz & SUN
Western AC,Santa Cruz & SUN Air Air
Western AC,Santa Cruz Air
Western AC,VASAI ROAD
Western AC,VIRAR
Western AC,VIRAR Air
Western AC,VIRAR Air Air AC
Western AC,Vasai Road
Western AC,Vile Parle
Western AC,Vile Parle .
Western AC,Vile Parle Condition
Western AC,Vile Parle NON AC Condition Condition
Western AC,Vile Parle ON SAT
Western/Dahanu,ANDHERI
Western/Dahanu,BANDRA
Western/Dahanu,BHAYANDAR
Western/Dahanu,BHAYANDER
Western/Dahanu,BOISAR
Western/Dahanu,BORIVALI
Western/Dahanu,Boisar
Western/Dahanu,CHURCHGATE
Western/Dahanu,Charni Road
Western/Dahanu,DADAR
Western/Dahanu,DAHANU ROAD
Western/Dahanu,Dahisar
Western/Dahanu,Grant Road
Western/Dahanu,Kelve Road
Western/Dahanu,M'BAI CENTRAL
Western/Dahanu,Marine Lines
Western/Dahanu,Mira Road
Western/Dahanu,Naigaon
Western/Dahanu,Nallasopara
Western/Dahanu,PALGHAR
