route_id,agency_id,route_short_name,route_long_name,route_type
1-1,KDMT,1,Kalyan Station To Kalyan Station Via Durgadi (Down) ⇆ Kalyan Station To Kalyan Station Via Durgadi (Down),3
2-1,KDMT,2,Kalyan Station To Kalyan Station Via Birla College (Down) ⇆ Kalyan Station To Kalyan Station Via Birla College (Down),3
3-1,KDMT,3,Sai Chowk ⇆ Kalyan Station,3
3-2,KDMT,3,Depot To Sai Chowk (Up) ⇆ Depot To Sai Chowk (Up),3
3-3,KDMT,3,Sai Chowk To Depot (Up) ⇆ Sai Chowk To Depot (Up),3
3-4,KDMT,3,Gandhari To Vithattalwadi Vai Kalyan Birla (Up) ⇆ Gandhari To Vithattalwadi Vai Kalyan Birla (Up),3
3-5,KDMT,3,Vitthalwadi To Gandhari Vai Kalyan Birla (Down) ⇆ Vitthalwadi To Gandhari Vai Kalyan Birla (Down),3
3-6,KDMT,3,Depot To Vitthalwadi (Down) ⇆ Depot To Vitthalwadi (Down),3
3-7,KDMT,3,Vithattalwadi ⇆ Gandhari Vai Kalyan Birla,3
3-8,KDMT,3,Kalyan Station To Godrej Hill Vai Birla Collage (Up) ⇆ Kalyan Station To Godrej Hill Vai Birla Collage (Up),3
3-9,KDMT,3,Godrej Hill ⇆ Kalyan Station Via Birla College,3
3-10,KDMT,3,Depot ⇆ Godrej Hill Vai Birla Collage,3
3-11,KDMT,3,Godrej Hil To Ganesh Ghat Depot Vai Birla Collage (Down) ⇆ Godrej Hil To Ganesh Ghat Depot Vai Birla Collage (Down),3
3-12,KDMT,3,Kalyan To Gove Naka (Mahanagar Gas) (Up) ⇆ Kalyan To Gove Naka (Mahanagar Gas) (Up),3
3-13,KDMT,3,Gove Naka (Mahanagar Gas) To Kalyan (Down) ⇆ Gove Naka (Mahanagar Gas) To Kalyan (Down),3
3-14,KDMT,3,Bardan Galli To Gove Naka (Mahanagar Gas) (Up) ⇆ Bardan Galli To Gove Naka (Mahanagar Gas) (Up),3
3-15,KDMT,3,Gove Naka (Mahanagar Gas) To Bardan Galli (Down) ⇆ Gove Naka (Mahanagar Gas) To Bardan Galli (Down),3
3-16,KDMT,3,Kalyan To Bardan Galli (Up) ⇆ Kalyan To Bardan Galli (Up),3
3-17,KDMT,3,Bardan Galli To Kalyan (Down) ⇆ Bardan Galli To Kalyan (Down),3
