stop_id,stop_name,stop_lat,stop_lon
KDMT_3,Kalyan Station,19.23673,73.13028
KDMT_44,Rambagh,19.24361,73.13043
KDMT_45,NSC Bose Chowk/Baicha Putla,19.24227,73.13659
KDMT_53,State Bank,19.24226,73.13976
KDMT_54,State Bank,19.24214,73.13972
KDMT_57,Syndicate,19.24213,73.14367
KDMT_58,Pournima,19.24219,73.14739
KDMT_543,Prem Auto,19.24265,73.14969
KDMT_61,Indiranagar,19.24436,73.14902
TMT_4010,Indira Nagar,19.2047694,72.94989315000001
TMT_532,Indira Nagar,19.20480335,72.9500768
TMT_3072,Indira Nagar,19.191758,72.968743
TMT_3449,Indira Nagar,19.0714121,73.0278999
TMT_3396,Indira Nagar,19.071761,73.027686
KDMT_62,Birla College,19.24663,73.14659
KDMT_63,Sahyadrinagar Fata,19.24764,73.14513
KDMT_64,Bhoirwadi,19.24922,73.14255
KDMT_66,Chikanghar,19.25059,73.14069
KDMT_67,Kasturigram,19.25185,73.13903
KDMT_497,Khadakpada,19.2532,73.13655
KDMT_171,Waylenagar,19.25316,73.13443
KDMT_172,Tanaji Nagar,19.25282,73.13129
KDMT_173,Gaykar Pada,19.25248,73.12898
KDMT_255,Aadharwadi Chowk,19.25211,73.12611
KDMT_175,Wadeghar,19.25027,73.12266
KDMT_176,Durgadi Chowk,19.2469,73.12051
KDMT_263,Durgadi Chowk,19.24661,73.12079
KDMT_94,Lal Chowki,19.24645,73.12363
KDMT_93,Ganesh Tower,19.24619,73.12621
KDMT_177,Telavane Hospital,19.24488,73.12812
KDMT_92,Telavane Hospital,19.24503,73.12775
KDMT_91,Sahajanand Chowk,19.24348,73.12968
KDMT_90,Chatrapati Shivaji Maharaj Chowk (Kalyan),19.24072,73.12942
KDMT_89,Gurudev Hotel,19.23931,73.1283
KDMT_118,Niwasi Vibhag,19.20458,73.10178
KDMT_119,Nekni Pada,19.20473,73.10684
TMT_3347,Nekni Pada,19.204514,73.106703
TMT_3372,Nekni Pada,19.204809,73.106737
KDMT_375,Devadi Petrol Pump,19.20567,73.10782
KDMT_55,Viko Naka,19.20968,73.11166
KDMT_52,Golavali,19.21277,73.11474
KDMT_51,Pandurang Wadi,19.21549,73.11694
BEST_25222,Pandurang Wadi,19.173583,72.850757
