Station_Name,Transport_Mode,Line,Latitude,Longitude,Additional_Info
"COLABA BUS STATION, POST OFFICE",Bus,BEST,18.911184,72.820905,
DHOBI GHAT (NAVY NAGAR),Bus,BEST,18.906977,72.812432,
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),Bus,BEST,18.926071,72.831553,
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),Bus,BEST,18.926225,72.831582,
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),Bus,BEST,18.925783,72.832901,
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),Bus,BEST,18.924066,72.832048,
FOREIGN POST OFFICE,Bus,BEST,18.935157,72.840318,
FOREIGN POST OFFICE,Bus,BEST,18.935012,72.840309,
G.T.HOSPITAL,Bus,BEST,18.946082,72.831718,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS (GPO),Bus,BEST,18.938434,72.836604,
HUTATMA CHOWK,Bus,BEST,18.933019,72.831785,
HUTATMA CHOWK,Bus,BEST,18.931275,72.83135,
BALLARD PIER,Bus,BEST,18.937162,72.840365,
JOHAR CHOWK (BHENDI BAZAAR),Bus,BEST,18.958243,72.832421,
JOHAR CHOWK (BHENDI BAZAAR),Bus,BEST,18.959001,72.831613,
JOHAR CHOWK (BHENDI BAZAAR),Bus,BEST,18.95957,72.831869,
JOHAR CHOWK (BHENDI BAZAAR),Bus,BEST,18.959507,72.831869,
KHADI BHANDAR,Bus,BEST,18.937637,72.834326,
MAHATMA PHULE MARKET (CRAWFORD MARKET),Bus,BEST,18.947169,72.835392,
MAHATMA PHULE MARKET (CRAWFORD MARKET),Bus,BEST,18.945415,72.833997,
RAILWAY CROSSING (MANDVI),Bus,BEST,18.95911,72.84616,
"MANDVI POST OFFICE, MINARA MASJID",Bus,BEST,18.955732,72.832879,
HUTATMA CHOWK,Bus,BEST,18.930796,72.83136,
HUTATMA CHOWK,Bus,BEST,18.929703,72.83138,
OLD CUSTOM HOUSE,Bus,BEST,18.929787,72.834873,
PILOT BUNDER,Bus,BEST,18.90473,72.815832,
RESERVE BANK OF INDIA (FORT),Bus,BEST,18.932651,72.836219,
"SASOON DOCK, COLABA FIRE STATION",Bus,BEST,18.91594,72.826236,
HORNIMAN CIRCLE,Bus,BEST,18.93153,72.834131,
STRAND CINEMA,Bus,BEST,18.916844,72.827089,
SWADESHI MARKET,Bus,BEST,18.949251,72.828886,
SWAMI DAYANAND SARASWATI CHOWK (FORT),Bus,BEST,18.937043,72.836966,
SWAMI DAYANAND SARASWATI CHOWK (FORT),Bus,BEST,18.935905,72.837375,
TADWADI (MAZGAON),Bus,BEST,18.964454,72.839319,
MALLET BUNDER,Bus,BEST,18.958045,72.847281,
MALLET BUNDER,Bus,BEST,18.957963,72.847347,
VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),Bus,BEST,18.944997,72.830371,
VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),Bus,BEST,18.943055,72.830125,
SWAMI DAYANAND SARASWATI CHOWK (FORT),Bus,BEST,18.934297,72.838069,
VIJAY VALLABH CHOWK (PYDHONIE),Bus,BEST,18.954882,72.83212,
VIJAY VALLABH CHOWK (PYDHONIE),Bus,BEST,18.954945,72.832167,
ZAKERIA MASJID,Bus,BEST,18.952462,72.834239,
R.C.CHURCH (COLABA),Bus,BEST,18.900103,72.813918,
M.T.PARK,Bus,BEST,18.907473,72.811738,
FIRE BRIGADE,Bus,BEST,18.947317,72.840253,
ZAKERIA MASJID,Bus,BEST,18.954105,72.832918,
CHINCH BUNDER,Bus,BEST,18.958283,72.838517,
MAZGAON DOCK,Bus,BEST,18.96576,72.846706,
KHADI BHANDAR,Bus,BEST,18.93723,72.834155,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,Bus,BEST,18.938468,72.834696,
INS ASHWINI HOSPITAL,Bus,BEST,18.901522,72.814677,
BALLARD PIER,Bus,BEST,18.937189,72.84027,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),Bus,BEST,18.939165,72.83535,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),Bus,BEST,18.939083,72.835521,
BHULESHWAR,Bus,BEST,18.952803,72.830032,
BHULESHWAR,Bus,BEST,18.95208,72.829663,
CARNAC BUNDER,Bus,BEST,18.949946,72.840916,
CENTRAL RAILWAY GOODS,Bus,BEST,18.960617,72.843567,
CHAKALA MARKET,Bus,BEST,18.950222,72.834506,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),Bus,BEST,18.941143,72.834789,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),Bus,BEST,18.940762,72.833222,
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),Bus,BEST,18.939064,72.833432,
COLABA BUS STATION,Bus,BEST,18.912649,72.823191,
VIJAY VALLABH CHOWK,Bus,BEST,18.954448,72.831949,
KENDRIYA VIDYALAYA 3 (COLABA),Bus,BEST,18.895411,72.810354,
ANJEERWADI,Bus,BEST,18.973543,72.840243,
BEST COLONY (WADALA),Bus,BEST,19.012688,72.853807,
BEST COLONY (BHOIWADA),Bus,BEST,19.005448,72.848018,
BHARATMATA CINEMA,Bus,BEST,18.995151,72.837749,
BUSA UDHYOG BHAVAN,Bus,BEST,18.999677,72.850786,
BYCULLA STATION (E),Bus,BEST,18.974469,72.833747,
BYCULLA STATION (E),Bus,BEST,18.976149,72.833452,
"BYCULLA STATION (EAST), GLORIA CHURCH",Bus,BEST,18.97559,72.834668,
KHODADAD CIRCLE (DADAR TT),Bus,BEST,19.015113,72.845599,
KHODADAD CIRCLE (DADAR TT),Bus,BEST,19.018602,72.848199,
KHODADAD CIRCLE (DADAR TT),Bus,BEST,19.019722,72.849044,
RUIA COLLEGE (MATUNGA-E),Bus,BEST,19.021295,72.850724,
RUIA COLLEGE (MATUNGA-E),Bus,BEST,19.022379,72.850533,
RUIA COLLEGE (MATUNGA-E),Bus,BEST,19.022533,72.850286,
SHANTARAM PUJARE CHOWK (KALA CHOWKY),Bus,BEST,18.988375,72.836595,
SAHAKAR NAGAR (WADALA-W),Bus,BEST,19.012108,72.851139,
SEWREE NAKA,Bus,BEST,18.9987,72.849998,
"SEWREE POLICE STATION, DARUKHANA",Bus,BEST,18.97962,72.849052,
SHARDA CINEMA,Bus,BEST,19.014309,72.846122,
SHARDA CINEMA,Bus,BEST,19.014074,72.846455,
SHARDA CINEMA,Bus,BEST,19.014101,72.846379,
SHINDEWADI (DADAR-E),Bus,BEST,19.011669,72.843236,
SPRING MILL,Bus,BEST,19.010073,72.848119,
SPRING MILL,Bus,BEST,19.011221,72.848613,
T.B.HOSPITAL (KIDWAI NAGAR),Bus,BEST,19.005043,72.851799,
TATA HOSPITAL (BHOIWADA),Bus,BEST,19.004333,72.842919,
TATA HOSPITAL (BHOIWADA),Bus,BEST,19.004216,72.842748,
"VITTHAL MANDIR, WADALA MARKET",Bus,BEST,19.016454,72.852484,
WADALA CHURCH,Bus,BEST,19.018389,72.855285,
WADALA CHURCH,Bus,BEST,19.019103,72.855978,
WADALA CHURCH,Bus,BEST,19.01848,72.856425,
WADIA MATERNITY HOSPITAL,Bus,BEST,19.002852,72.842682,
DADAR STATION (E),Bus,BEST,19.017506,72.844116,
INDIRA NAGAR (SEWREE),Bus,BEST,18.992749,72.85457,
COAL BUNDER,Bus,BEST,18.98332,72.85828,
CANTEEN STORES,Bus,BEST,18.981619,72.853685,
I.C.I. (SEWREE),Bus,BEST,18.980877,72.851453,
JIJAMATA MUNICIPAL SCHOOL(BYCULLA-E),Bus,BEST,18.980264,72.840182,
NEW HIND MILL MHADA COLONY,Bus,BEST,18.983779,72.841015,
BYCULLA STATION (E),Bus,BEST,18.977604,72.833698,
BHARATMATA CINEMA,Bus,BEST,18.994799,72.838433,
WADALA STATION (W),Bus,BEST,19.016973,72.858886,
WADALA STATION (W),Bus,BEST,19.0185,72.860167,
"INDIRA NAGAR, FROSBERRY ROAD",Bus,BEST,18.986587,72.851905,
SEWREE KOLIWADA SCHOOL,Bus,BEST,18.999902,72.856382,
A.H.ANSARI CHOWK (NAGPADA),Bus,BEST,18.970602,72.832696,
A.H.ANSARI CHOWK (NAGPADA),Bus,BEST,18.970268,72.832716,
AGRIPADA POLICE STATION,Bus,BEST,18.977416,72.824031,
AIR CONDITION MARKET,Bus,BEST,18.973515,72.814386,
ALANKAR CINEMA,Bus,BEST,18.957579,72.826981,
"MAHARASHTRA COLLEGE, ALEXANDRA CINEMA",Bus,BEST,18.967292,72.827353,
ANJUMAN COLLEGE,Bus,BEST,18.96177,72.825648,
ANJUMAN COLLEGE,Bus,BEST,18.961653,72.825848,
B.P.T COLONY (DOCKYARD RD),Bus,BEST,18.964166,72.841485,
BHATIA HOSPITAL,Bus,BEST,18.965049,72.812969,
BHATIA HOSPITAL,Bus,BEST,18.964363,72.81295,
BREACH CANDY HOSPITAL,Bus,BEST,18.972252,72.804948,
BYCULLA STATION (W),Bus,BEST,18.977269,72.832169,
BYCULLA STATION (W),Bus,BEST,18.976654,72.832179,
BYCULLA STATION (W),Bus,BEST,18.976501,72.832037,
CHRIST CHURCH SCHOOL,Bus,BEST,18.96976,72.83001,
DOCKYARD ROAD RAILWAY STATION,Bus,BEST,18.966183,72.844484,
DARUKHANA,Bus,BEST,18.971396,72.845316,
DARUKHANA,Bus,BEST,18.971631,72.845221,
AZAD FLOUR MILL,Bus,BEST,18.985369,72.841052,
GADI ADDA,Bus,BEST,18.994646,72.853885,
MAHATMA GANDHI HOSPITAL (PAREL),Bus,BEST,18.997384,72.840359,
MAHATMA GANDHI HOSPITAL (PAREL),Bus,BEST,18.997809,72.840758,
GANESH TALKIES (LALBAUG),Bus,BEST,18.989738,72.83461,
GHODAPDEV,Bus,BEST,18.982073,72.842839,
HAKOBA,Bus,BEST,18.988268,72.83877,
HINDMATA CINEMA (PAREL),Bus,BEST,19.010034,72.84243,
HINDMATA CINEMA (PAREL),Bus,BEST,19.009952,72.842069,
HINDMATA CINEMA (PAREL),Bus,BEST,19.0096,72.841823,
HINDU CEMETARY(REAY ROAD),Bus,BEST,18.977549,72.846964,
JACKERIA BUNDER,Bus,BEST,18.99167,72.847667,
JAIHIND CINEMA,Bus,BEST,18.984382,72.836503,
JAIHIND CINEMA,Bus,BEST,18.984219,72.835981,
JIJAMATA UDYAN (BYCULLA),Bus,BEST,18.979989,72.834104,
ROBERT GOMES CHOWK (BYCULLA-E),Bus,BEST,18.980677,72.836316,
K.E.M.HOSPITAL,Bus,BEST,19.001549,72.840755,
K.E.M.HOSPITAL,Bus,BEST,19.00154,72.840746,
SHRAWAN YASHWANTE CHOWK (KALA CHOWKY),Bus,BEST,18.987583,72.841525,
KALA CHOWKY POLICE STATION,Bus,BEST,18.987972,72.84294,
MINT COLONY,Bus,BEST,18.994424,72.844322,
T.B.HOSPITAL (KIDWAI NAGAR),Bus,BEST,19.005214,72.850022,
LAL BAHADUR SHASTRI COLLEGE,Bus,BEST,18.980583,72.859279,
LAL BAHADUR SHASTRI COLLEGE,Bus,BEST,18.980619,72.858918,
SANT JAGNADE CHOWK (LALBAUG),Bus,BEST,18.991717,72.83627,
SANT JAGNADE CHOWK (LALBAUG),Bus,BEST,18.993804,72.836249,
MADKEBUWA CHOWK (PAREL),Bus,BEST,19.004386,72.841038,
MADHAV NAGAR (WADALA-W),Bus,BEST,19.011884,72.854349,
MADHAV NAGAR (WADALA-W),Bus,BEST,19.011766,72.854549,
"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",Bus,BEST,18.976253,72.839938,
NAIGAON POLICE COLONY,Bus,BEST,19.007489,72.847171,
PRABODHANKAR THACKERAY UDYAN BUS STATION (SEWREE),Bus,BEST,18.998196,72.852249,
MADKEBUWA CHOWK (PAREL),Bus,BEST,19.002216,72.838466,
"PAREL VILLAGE, ST.GORA KUMBHAR CHOWK",Bus,BEST,19.000613,72.846008,
REAY ROAD STATION,Bus,BEST,18.975976,72.844211,
REAY ROAD STATION,Bus,BEST,18.976536,72.844239,
"PARSI DHARMASHALA, OM CHAMBERS",Bus,BEST,18.964645,72.805496,
PARSI GENERAL HOSPITAL,Bus,BEST,18.968574,72.80365,
PLAY HOUSE,Bus,BEST,18.961759,72.822458,
PRARTHANA SAMAJ,Bus,BEST,18.958035,72.820334,
PREM NAGAR,Bus,BEST,18.94972,72.794268,
PRIYADARSHINI PARK (NAPEAN SEA ROAD),Bus,BEST,18.956853,72.799503,
PT.PALUSKAR CHOWK (OPERA HOUSE)- MARWADI VIDYALAYA,Bus,BEST,18.957374,72.817381,
"RAILWAY HOTEL, CHARNI ROAD JUNCTION",Bus,BEST,18.961387,72.819932,
SAIDHAM (GRANT ROAD),Bus,BEST,18.958087,72.816906,
"A.H.ANSARI CHOWK, SALVATION ARMY",Bus,BEST,18.973001,72.827662,
SHUKLAJI STREET,Bus,BEST,18.966223,72.824628,
SIMLA HOUSE,Bus,BEST,18.95803,72.802397,
ST.MARY S HIGH SCHOOL (MAZGAON),Bus,BEST,18.969781,72.835137,
"TARDEO BUS STATION, RUSI MEHTA CHOWK",Bus,BEST,18.963881,72.82087,
TWO TANKS,Bus,BEST,18.961618,72.827699,
TWO TANKS,Bus,BEST,18.961763,72.82825,
VATSALABAI DESAI CHOWK (HAJI ALI),Bus,BEST,18.977055,72.811809,
VASANTRAO NAIK CHOWK (TARDEO),Bus,BEST,18.969965,72.81512,
VASANTRAO NAIK CHOWK,Bus,BEST,18.97039,72.815015,
"GULAL WADI, YADNIK CHOWK",Bus,BEST,18.956424,72.828188,
ABDUL REHMAN SUFI GRD (ZULA MAIDAN),Bus,BEST,18.974356,72.826701,
GRANT ROAD STATION (W),Bus,BEST,18.964031,72.815913,
BHATIA HOSPITAL,Bus,BEST,18.965375,72.813605,
SANT GADGE MAHARAJ CHOWK (SAATRASTA),Bus,BEST,18.979732,72.827818,
